local;oaci;iata;tipo;denominacion;coordenadas;latitud;longitud;elev;uom_elev;ref;distancia_ref;direccion_ref;condicion;control;region;fir;uso;trafico;sna;concesionado;provincia;inhab
CBA;SACO;COR;Aeródromo;CÓRDOBA/ING. AER. A. L. V. TARAVELLA;31°18'36"S64°12'30"W;-64.20833333;-31.31000000;489.00;Metros;Córdoba;9.0;NNO;PUBLICO;CONTROL;RANO;SACF;CIVIL;Internacional;SI;SI;CÓRDOBA;NO
RVA;;;Aeródromo;AMÉRICA;35°30' 7"S62°59'24"W;-62.99000000;-35.50194444;106.00;Metros;América;1.0;SO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;BUENOS AIRES;NO
